login,alloc_type,experiment,time
dron_a_a,T*,710,3.56816
dron_a_a,T*,710,3.67874
dron_a_a,T*,710,3.43934
dron_a_a,T*,710,3.37874
dron_a_a,T*,710,3.46635
dron_a_a,T*,710,3.53877
dron_a_a,T*,710,3.45065
dron_a_a,T*,710,3.3313
dron_a_a,T*,710,3.644
dron_a_a,T*,710,3.42278
dron_a_a,T*,710,3.61104
dron_a_a,T*,710,3.53743
dron_a_a,T*,710,3.44383
dron_a_a,T*,810,3.64362
dron_a_a,T*,810,3.6356
dron_a_a,T*,810,3.64852
dron_a_a,T*,810,3.63541
dron_a_a,T*,810,3.6357
dron_a_a,T*,810,3.69014
dron_a_a,T*,810,3.47108
dron_a_a,T*,810,3.56778
dron_a_a,T*,810,3.52685
dron_a_a,T*,810,3.53113
dron_a_a,T*,810,3.83053
dron_a_a,T*,810,3.50309
dron_a_a,T*,810,3.47238
dron_a_a,T*,810,3.23395
dron_a_a,T*,810,3.23987
dron_a_a,T*,910,4.64825
dron_a_a,T*,910,3.53747
dron_a_a,T*,910,3.42816
dron_a_a,T*,910,3.43657
dron_a_a,T*,910,3.44248
dron_a_a,T*,910,3.46269
dron_a_a,T*,910,3.51138
dron_a_a,T*,910,3.57583
dron_a_a,T*,910,3.4989
dron_a_a,T*,910,4.1975
dron_a_a,T*,910,8.08795
dron_a_a,T*,910,8.34557
dron_a_a,T*,910,8.18377
dron_a_a,T*,910,6.06586
dron_a_a,T*,910,7.25776
dron_a_a,T*,1010,8.33703
dron_a_a,T*,1010,5.913
dron_a_a,T*,1010,4.74018
dron_a_a,T*,1010,4.1054
dron_a_a,T*,1010,6.14823
dron_a_a,T*,1010,8.04439
dron_a_a,T*,1010,5.93133
dron_a_a,T*,1010,4.94577
dron_a_a,T*,1010,4.1508
dron_a_a,T*,1010,4.49712
dron_a_a,T*,1010,4.20532
dron_a_a,T*,1010,5.25967
dron_a_a,T*,1010,4.48914
dron_a_a,T*,1010,4.00907
dron_a_a,T*,1010,3.85613
